Image names,Worm 1 (blue) integrated Intensity,Worm 2 (teal) integrated Intensity,Worm 3 (green) integrated Intensity,Worm 4 (yellow/red) integrated Intensity,Worm 5 (orange) integrated Intensity,Worm 1 (blue) integrated Area,Worm 2 (teal) integrated Area,Worm 3 (green) integrated Area,Worm 4 (yellow/red) integrated Area,Worm 5 (orange) integrated Area
ROS & NAC Response002_JV1_3HAA_EV_DAPI_D14_1_ch00.tif,5683.85800117007,3523.07077745022,6227.65203096201,3015.31133214033,3292.30363578493,54147,59996,57360,57801,61792
ROS & NAC Response002_JV1_3HAA_EV_DAPI_D14_2_ch00.tif,3619.98823409891,3586.73791993305,3616.98986799957,2977.19795094543,4609.92302703054,58880,59524,73423,57249,62495
ROS & NAC Response002_JV1_3HAA_EV_DAPI_D14_3_ch00.tif,3508.25125750493,3200.52338656633,4250.1816094297,5035.47193517452,3632.84452398723,59360,58866,62192,60743,65534
ROS & NAC Response002_JV1_3HAA_EV_GFP_D14_1_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_3HAA_EV_GFP_D14_2_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_3HAA_EV_GFP_D14_3_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_3HAA_NAC_EV_DAPI_D14_1_ch00.tif,2475.68389044648,1121.78532825358,3237.65171222128,3165.91348493174,1708.68036757825,57999,51695,65340,64008,42285
ROS & NAC Response002_JV1_3HAA_NAC_EV_DAPI_D14_2_ch00.tif,2488.13189594689,1937.53589529885,2716.41647341271,4331.56177255374,2404.21086677501,74397,58104,79675,74320,70171
ROS & NAC Response002_JV1_3HAA_NAC_EV_DAPI_D14_3_ch00.tif,1271.38987098792,888.115232917362,1032.71697942381,789.7839099343,1065.86152776045,63254,58555,57279,66708,64532
ROS & NAC Response002_JV1_3HAA_NAC_EV_GFP_D14_1_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_3HAA_NAC_EV_GFP_D14_2_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_3HAA_NAC_EV_GFP_D14_3_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_EV_DAPI_D14_1_ch00.tif,1278.9973812556,1607.15006499045,1864.26887453582,989.705531092071,1110.05641957755,62357,59356,58171,50569,53225
ROS & NAC Response002_JV1_NGM_EV_DAPI_D14_2_ch00.tif,2504.78858858671,1201.72614142083,3155.65008356783,1451.00460463861,2760.69013679736,62121,59847,78902,68389,60901
ROS & NAC Response002_JV1_NGM_EV_DAPI_D14_3_ch00.tif,910.134000215055,990.121099155633,1932.4042557513,1541.08580985998,2971.37485452261,59825,53206,67640,63463,65414
ROS & NAC Response002_JV1_NGM_EV_GFP_D14_1_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_EV_GFP_D14_2_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_EV_GFP_D14_3_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_haao-1_DAPI_D14_1_ch00.tif,1519.00690754551,711.018172696515,971.779848678532,1110.10705213615,1278.18543186057,64221,62958,47441,62772,73961
ROS & NAC Response002_JV1_NGM_haao-1_DAPI_D14_2_ch00.tif,1156.79400541222,1951.36546793925,1075.10892861111,1523.44354124622,1766.44329259074,74074,64224,70223,67901,73268
ROS & NAC Response002_JV1_NGM_haao-1_DAPI_D14_3_ch00.tif,1552.8948621212,2635.68191717293,2253.58318118292,3022.86193440978,3380.97302078137,58340,62503,75810,63967,57032
ROS & NAC Response002_JV1_NGM_haao-1_GFP_D14_1_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_haao-1_GFP_D14_2_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_haao-1_GFP_D14_3_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_NAC_EV_DAPI_D14_1_ch00.tif,1750.09397503549,1771.51439332207,2370.38380564859,1087.72473890712,2584.09418543273,58163,61284,72623,58716,53103
ROS & NAC Response002_JV1_NGM_NAC_EV_DAPI_D14_2_ch00.tif,1713.67263527558,4783.74429173811,1507.95735903804,3102.08335629301,1703.31814998007,64245,78026,63117,63912,54110
ROS & NAC Response002_JV1_NGM_NAC_EV_DAPI_D14_3_ch00.tif,2220.19999618434,2333.78186797033,2357.45097803349,1210.37209205163,749.068149133516,61617,67622,57167,56355,44165
ROS & NAC Response002_JV1_NGM_NAC_EV_GFP_D14_1_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_NAC_EV_GFP_D14_2_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_NAC_EV_GFP_D14_3_ch00.tif,0,0,0,0,0,0,0,0,0,0
ROS & NAC Response002_JV1_NGM_NAC_haao-1_DAPI_D14_1_ch00.tif,1383.71727969799,680.359559657055,556.437655984115,2067.02228699143,1217.14714178279,60408,49323,52150,66043,61589
