Image names,Worm 1 (blue) integrated Intensity,Worm 2 (teal) integrated Intensity,Worm 3 (green) integrated Intensity,Worm 4 (yellow/red) integrated Intensity,Worm 5 (orange) integrated Intensity,Worm 1 (blue) integrated Area,Worm 2 (teal) integrated Area,Worm 3 (green) integrated Area,Worm 4 (yellow/red) integrated Area,Worm 5 (orange) integrated Area
haao-1 Dependency skn-1_GLS317_aak-1_D4_1_ch00.tif,155567,156290,150189,173733,186764,9283,8965,8565,9857,10592
haao-1 Dependency skn-1_GLS317_aak-1_D4_2_ch00.tif,156824,195036,186851,207347,191504,10035,10522,10772,12438,15439
haao-1 Dependency skn-1_GLS317_aak-1_D4_3_ch00.tif,153629,121922,186872,168746,188767,9715,8896,10082,9743,9995
haao-1 Dependency skn-1_GLS317_aak-2_D4_1_ch00.tif,195272,139488,131880,185989,133313,11071,11403,10702,12836,10431
haao-1 Dependency skn-1_GLS317_aak-2_D4_2_ch00.tif,140737,142946,140041,176820,150942,10007,10434,10411,11684,11124
haao-1 Dependency skn-1_GLS317_aak-2_D4_3_ch00.tif,167945,178484,153068,170819,169573,11520,11305,10796,11702,10554
haao-1 Dependency skn-1_GLS317_aco-1_D4_1_ch00.tif,151793,211870,152928,175783,154084,9885,11897,10774,10961,10325
haao-1 Dependency skn-1_GLS317_aco-1_D4_2_ch00.tif,131565,156094,168688,168293,153745,10392,10811,11293,11956,11835
haao-1 Dependency skn-1_GLS317_aco-1_D4_3_ch00.tif,190843,168242,185622,172909,190053,11622,11043,11685,12790,12486
haao-1 Dependency skn-1_GLS317_aco-2_D4_1_ch00.tif,121946,155220,171999,173902,172354,9193,9998,9500,11013,10637
haao-1 Dependency skn-1_GLS317_aco-2_D4_2_ch00.tif,127504,167066,183436,157306,202719,9765,9685,9958,11003,11363
haao-1 Dependency skn-1_GLS317_aco-2_D4_3_ch00.tif,158209,177251,196149,150955,182271,9730,10396,10572,8911,11156
haao-1 Dependency skn-1_GLS317_akt-1_D4_1_ch00.tif,136261,117225,140198,142617,148382,9652,9113,9466,9798,9666
haao-1 Dependency skn-1_GLS317_akt-1_D4_2_ch00.tif,133664,141775,134028,164081,153201,9590,9340,10508,9965,9419
haao-1 Dependency skn-1_GLS317_akt-1_D4_3_ch00.tif,139050,194721,161716,164845,175111,8081,9030,8456,8897,8900
haao-1 Dependency skn-1_GLS317_akt-2_D4_1_ch00.tif,140379,141110,145332,129486,151214,10130,10001,10510,9945,10944
haao-1 Dependency skn-1_GLS317_akt-2_D4_2_ch00.tif,135990,156006,161834,130431,135381,9604,10417,10316,9577,9565
haao-1 Dependency skn-1_GLS317_akt-2_D4_3_ch00.tif,120584,145123,136598,158572,144950,9278,10190,9472,11214,10124
